Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
435  | 20UBA.E.B00.D-1480      |
436  | 20UBA.E.B00.D-1490      |
437  | 20UBA.E.B00.D-1790      |
438  | 20UBA.E.B00.D-1500      |
439  | 20UBA.E.B00.D-1800      |
440  | 20UBA.E.B00.D-1510      |
441  | 20UBA.E.B00.D-1000      |
442  | 20UBA.E.B00.D-2060      |
443  | 20UBA.E.BAU.D-1000      |
444  | 20UBA.E.BJ0.D-1000      |
445  | 20UBA.E.BJ0.D-1010      |
446  | 20UBA.E.B00.D-2010      |
447  | 20UBA.E.B00.D-1810      |
448  | 20UBA.E.B00.D-1190      |
449  | 20UBA.E.B00.D-1820      |
450  | 20UBA.E.B00.D-1210      |
451  | 20UBA.E.B00.D-1830      |
452  | 20UBA.E.B00.D-1220      |
453  | 20UBA.E.B0.D-1840       |
454  | 20UBA.E.B00.D-1230      |
455  | 20UBA.E.B00.D-1240      |
456  | 20UBA.E.B00.D-1250      |
457  | 20UBA.E.B00.D-1260      |
458  | 20UBA.E.B00.D-1270      |
459  | 20UBA.E.B00.D-1280      |
460  | 20UBA.E.B00.D-1290      |
461  | 20UBA.E.B00.D-1300      |
462  | 20UBA.E.B00.D-1310      |
463  | 20UBA.E.B00.D-1840      |
464  | 20UBA.E.B00.D-1320      |
465  | 20UBA.E.B00.D-1610      |
466  | 20UBA.E.B00.D-1620      |
467  | 20UBA.E.B00.D-1630      |
468  | 20UBA.E.B00.D-1640      |
469  | 20UBA.E.B00.D-1650      |
470  | 20UBA.E.B00.D-1660      |
471  | 20UBA.E.B00.D-1670      |
472  | 20UBA.E.B00.D-1680      |
473  | 20UBA.E.B00.D-1690      |
474  | 20UBA.E.B00.D-1700      |
475  | 20UBA.E.B00.D-1720      |
476  | 20UBA.E.B00.D-1710      |
477  | 20UBA.E.B00.D-1760      |
478  | 20UBA.E.B00.D-2080      |
479  | 20UBA.J.B00.D-1740      |
480  | 20UBA.E.B00.D-2030      |
481  | 20UBA.E.B00.D-2090      |
