Итоговые значения:

       Система     |Наименование                                                                                    |Шифр                                                            |Тип                      |Статус|Ревизия                                   |Срок                                     |
1488 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 30.07.2023    |
1489 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1490 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1491 | ПТС ОДУ     |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 27.08.2023    |
1492 | САУ ДГУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 20.10.2024    |
1493 | СКУ ПТ и ТГ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-07-30 на 30.07.2024    |
1494 | СКУ ОРАО ЭБ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 20.10.2024    |
1495 | СКУ ОРАО ЭБ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-29 на 20.10.2024    |
1496 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1497 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1498 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1499 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1500 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1501 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-06 на 30.07.2023    |
1502 | ПТС ОДУ     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1503 | ПТС ОДУ     |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 27.08.2023    |
1504 | ПТС ОДУ     |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 30.06.2023    |
1505 | ПТС ОДУ     |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 27.08.2023    |
1506 | САУ ДГУ     |-                                                                                               |-                                                               |ТЗА                      |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-30 на 30.12.2023    |
1507 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1508 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1509 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
1510 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ТЗА                      |-     |Смена ревизия c  на None                  |-                                        |
1511 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ТЗА                      |-     |Смена ревизия c  на None                  |-                                        |
1512 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
1513 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1514 | СКУ МПУ ОС  |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1515 | СКУ МПУ ОС  |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1516 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-28 на 19.06.2023    |
1517 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1518 | КИП         |-                                                                                               |-                                                               |Рабочий чертеж           |-     |Смена ревизия c  на None                  |-                                        |
1519 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1520 | КИП         |-                                                                                               |-                                                               |Рабочий чертеж           |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-29 на 29.09.2023    |
1521 | ЭПА         |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1522 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-02 на 29.09.2023    |
1523 | КИП         |-                                                                                               |-                                                               |Рабочий чертеж           |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-29 на 29.09.2023    |
1524 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-25 на 16.07.2023    |
1525 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-10 на 30.07.2023    |
1526 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-30 на 30.12.2023    |
1527 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-30 на 30.12.2023    |
1528 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-24 на 23.06.2023    |
1529 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-10-29 на 29.10.2023    |
1530 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-30 на 30.11.2023    |
1531 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-11 на 05.07.2023    |
1532 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 30.07.2023    |
1533 | КИП         |-                                                                                               |-                                                               |МС чертеж                |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-06 на 06.09.2023    |
1534 | КИП         |-                                                                                               |Смена шифра c 10UCB.J.CA0.D-1180 на AKU.0120.10UCB.0.AK.PC0001  |Перечень                 |-     |Смена ревизия c  на C01                   |Смена срок c 2023-05-03 на 20.05.2023    |
1535 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1536 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-02 на 02.08.2023    |
1537 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1538 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1539 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1540 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1541 | ЭПА         |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1542 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-30 на 30.11.2023    |
1543 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-30 на 30.11.2023    |
1544 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 21.06.2023    |
1545 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-10 на 30.09.2023    |
1546 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-28 на 06.06.2023    |
1547 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-30 на 30.06.2023    |
1548 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-24 на 23.06.2023    |
1549 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1550 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-28 на 28.01.2024    |
1551 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-11 на 05.07.2023    |
1552 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-30 на 30.09.2023    |
1553 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-03 на 03.12.2023    |
1554 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-03 на 03.12.2023    |
1555 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-03 на 03.12.2023    |
1556 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1557 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-06 на 06.09.2023    |
1558 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 05.07.2023    |
1559 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-29 на 21.06.2023    |
1560 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-25 на 21.06.2023    |
1561 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-25 на 21.06.2023    |
1562 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1563 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1564 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1565 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-20 на 30.07.2023    |
1566 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1567 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1568 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1569 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 28.01.2024    |
1570 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-14 на 14.06.2023    |
1571 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 21.06.2023    |
1572 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-14 на 14.06.2023    |
1573 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-07-30 на 30.07.2024    |
1574 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-07-30 на 30.07.2024    |
1575 | КИП         |-                                                                                               |Смена шифра c 10UMA.J.CA0.D-1120 на AKU.0130.10UMA.0.AT.TB0010  |Схема подключений        |-     |Смена ревизия c  на C01                   |Смена срок c 2023-04-29 на в производстве|
1576 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-10-15 на 15.10.2023    |
1577 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-10-11 на 11.10.2023    |
1578 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-29 на 07.02.2024    |
1579 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-21 на 29.11.2023    |
1580 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-14 на 18.09.2024    |
1581 | КИП         |-                                                                                               |-                                                               |Схемы ИЛ                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-14 на 24.07.2024    |
1582 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-21 на 13.12.2023    |
1583 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1584 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-29 на 19.06.2023    |
1585 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1586 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-04-29 на 29.04.2024    |
1587 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-04-29 на 20.10.2024    |
1588 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-04-29 на 20.10.2024    |
1589 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-03 на 03.01.2024    |
1590 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-02 на 02.11.2023    |
1591 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-03 на 03.12.2023    |
1592 | КИП         |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1593 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 28.01.2024    |
1594 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1595 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-01-29 на 29.01.2024    |
1596 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-24 на 29.06.2023    |
1597 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 29.06.2023    |
1598 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-03-01 на 01.03.2024    |
1599 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1600 | КИП         |-                                                                                               |-                                                               |План расположения        |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-14 на 14.11.2023    |
1601 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2024-07-30 на 30.07.2024    |
1602 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-29 на 21.02.2024    |
1603 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-29 на 13.03.2024    |
1604 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-21 на 24.01.2024    |
1605 | КИП         |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-30 на 27.12.2023    |
1606 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1607 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1608 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1609 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1610 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-30 на 30.08.2023    |
1611 | КИП         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-04-29 на 20.10.2024    |
1612 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-29 на 29.08.2023    |
1613 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-08-29 на 29.08.2023    |
1614 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-29 на 29.09.2023    |
1615 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-11-01 на 01.11.2023    |
1616 | ЭПА         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-04-29 на 20.10.2024    |
1617 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 20.10.2024    |
1618 | КИП         |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-29 на 29.06.2023    |
1619 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 30.07.2023    |
1620 | КИП         |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 30.07.2023    |
1621 | КИП         |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 30.07.2023    |
